1r4r1/5p1k/p2p1q1p/2b1nPQ1/p7/6RP/B1R2PPK/2B5 b - - 0 1;Depth 1;Depth 2;Depth 3;Depth 4;Depth 5;Depth 6;Depth 7
MiniMaxSequential (Mate aware material evaluation);0.003;0.03;1.238;21.117;556.801
MiniMaxAlphaBetaSequential (Mate aware material evaluation);0.006;0.01;0.576;0.792;3.574;3.649;20.68
MiniMaxParallel (Mate aware material evaluation);0.013;0.02;0.947;6.119;163.873
MiniMaxParallel (Piece square material evaluation);0.006;0.026;0.393;27.425;479.399
MiniMaxParallel (Simple material evaluation);0.109;0.516;3.67;11.167;600.347
MiniMaxParallel (Mate aware piece square evaluation);0.013;0.032;0.81;6.391;762.198
MiniMaxSequential (Mate aware piece square evaluation);0.003;0.014;1.002;29.85;895.666
MiniMaxAlphaBetaSequential (Mate aware piece square evaluation);0.003;0.013;0.321;0.538;1.075;12.947;18.972
MiniMaxParallel (Simple piece square evaluation);0.013;0.054;0.63;11.677;562.33
MiniMaxSequential (Mate aware piece square material evaluation);0.01;0.063;6.891;39.22;1434.063
MiniMaxAlphaBetaSequential (Simple material evaluation);0.955;0.543;6.551;1.106;2.939;4.952;33.496
MiniMaxAlphaBetaSequential (Simple piece square evaluation);0.296;0.085;0.067;0.275;13.062;25.03;39.457
MiniMaxAlphaBetaSequential (Piece square material evaluation);0.005;0.005;0.492;0.548;1.997;9.757;36.986
MiniMaxParallel (Mate aware piece square material evaluation);0.006;0.021;0.697;24.162;1048.427
MiniMaxSequential (Piece square material evaluation);0.005;0.049;3.135;21.684;767.741
MiniMaxAlphaBetaSequential (Mate aware piece square material evaluation);0.004;0.009;0.464;0.549;2.374;12.008;35.997
MiniMaxSequential (Simple material evaluation);0.007;0.041;5.641;26.873;543.535
MiniMaxSequential (Simple piece square evaluation);0.006;0.016;2.526;23.01;413.005
