1r4r1/5p1k/p2p1q1p/2b1nPQ1/p7/6RP/B1R2PPK/2B5 b - - 0 1;Depth 1;Depth 2;Depth 3;Depth 4;Depth 5;Depth 6;Depth 7
MiniMaxSequential (Mate aware material evaluation);0.361;14.133;594.593;23464.437;970221.307
MiniMaxAlphaBetaSequential (Mate aware material evaluation);0.383;0.894;17.581;38.887;529.614;1136.468;17466.742
MiniMaxParallel (Mate aware material evaluation);0.515;2.597;95.372;4434.071;192889.164
MiniMaxParallel (Piece square material evaluation);0.527;3.263;125.755;5689.799;245098.292
MiniMaxParallel (Simple material evaluation);0.811;3.602;113.402;4385.426;191474.231
MiniMaxParallel (Mate aware piece square evaluation);0.527;2.418;87.42;4136.739;180180.84
MiniMaxSequential (Mate aware piece square evaluation);0.346;13.734;579.987;22792.579;939403.252
MiniMaxAlphaBetaSequential (Mate aware piece square evaluation);0.348;1.524;23.58;80.248;863.093;2169.609;24351.034
MiniMaxParallel (Simple piece square evaluation);0.523;2.389;87.516;4171.358;180521.182
MiniMaxSequential (Mate aware piece square material evaluation);0.495;19.267;821.079;31988.833;1323981.36
MiniMaxAlphaBetaSequential (Simple material evaluation);2.427;3.164;23.551;38.827;520.344;1134.742;17241.816
MiniMaxAlphaBetaSequential (Simple piece square evaluation);0.764;1.658;22.483;83.331;876.103;2318.821;24337.475
MiniMaxAlphaBetaSequential (Piece square material evaluation);0.488;1.095;26.08;46.83;709.478;1483.735;25808.427
MiniMaxParallel (Mate aware piece square material evaluation);0.53;3.393;127.826;5677.155;245527.755
MiniMaxSequential (Piece square material evaluation);0.49;19.04;814.057;31648.529;1314631.038
MiniMaxAlphaBetaSequential (Mate aware piece square material evaluation);0.529;1.182;25.91;48.104;717.241;1504.08;26033.701
MiniMaxSequential (Simple material evaluation);0.402;14.475;604.721;23250.85;960592.734
MiniMaxSequential (Simple piece square evaluation);0.346;13.507;575.373;22456.591;935049.691
