r1bq1rk1/ppp1ppbp/2np1np1/4N3/2B1P3/2P2Q1P/PP3PP1/RNB1K2R w KQ - 2 10;Depth 1;Depth 2;Depth 3;Depth 4;Depth 5;Depth 6;Depth 7
MiniMaxSequential (Mate aware material evaluation);0.418;13.602;614.518;19899.513;878593.297
MiniMaxAlphaBetaSequential (Mate aware material evaluation);0.414;0.968;18.424;43.651;742.02;1517.349;26210.195
MiniMaxParallel (Mate aware material evaluation);0.535;2.43;94.074;3599.398;163991.745
MiniMaxParallel (Piece square material evaluation);0.573;3.02;125.218;4598.437;209173.342
MiniMaxParallel (Simple material evaluation);0.492;2.404;94.28;3581.676;164848.654
MiniMaxParallel (Mate aware piece square evaluation);0.534;2.149;83.529;3257.571;151017.939
MiniMaxSequential (Mate aware piece square evaluation);0.377;12.369;573.42;18466.6;815601.295
MiniMaxAlphaBetaSequential (Mate aware piece square evaluation);0.383;1.196;18.29;43.525;799.614;2132.878;37999.911
MiniMaxParallel (Simple piece square evaluation);0.537;2.14;84.328;3250.94;151749.665
MiniMaxSequential (Mate aware piece square material evaluation);0.549;17.843;818.193;26493.014;1169454.077
MiniMaxAlphaBetaSequential (Simple material evaluation);0.421;0.975;18.449;44.333;731.985;1527.977;26020.091
MiniMaxAlphaBetaSequential (Simple piece square evaluation);0.381;1.192;18.453;43.417;788.723;2117.595;37723.958
MiniMaxAlphaBetaSequential (Piece square material evaluation);0.549;1.186;23.591;54.15;984.714;1895.676;37925.817
MiniMaxParallel (Mate aware piece square material evaluation);0.557;3.076;125.252;4606.024;207576.616
MiniMaxSequential (Piece square material evaluation);0.549;17.685;819.298;26325.935;1164908.856
MiniMaxAlphaBetaSequential (Mate aware piece square material evaluation);0.554;1.191;24.197;54.149;990.206;1888.133;38137.471
MiniMaxSequential (Simple material evaluation);0.427;13.755;626.51;19848.395;869036.592
MiniMaxSequential (Simple piece square evaluation);0.379;12.365;563.896;18486.327;812634.077
