8/5ppk/4p1p1/3pq3/3Q4/1B2r2P/P5P1/3R3K b - - 8 42;Depth 1;Depth 2;Depth 3;Depth 4;Depth 5;Depth 6;Depth 7
MiniMaxSequential (Mate aware material evaluation);0.198;6.485;191.918;6033.373;180077.54
MiniMaxAlphaBetaSequential (Mate aware material evaluation);0.197;0.736;8.927;17.228;267.177;513.844;6117.81
MiniMaxParallel (Mate aware material evaluation);0.282;1.241;29.859;1154.998;36349.727
MiniMaxParallel (Piece square material evaluation);0.295;1.596;40.318;1501.764;46181.446
MiniMaxParallel (Simple material evaluation);0.27;1.24;29.924;1135.141;36000.702
MiniMaxParallel (Mate aware piece square evaluation);0.288;1.166;27.964;1104.826;34660.188
MiniMaxSequential (Mate aware piece square evaluation);0.188;6.227;183.032;5887.634;175259.178
MiniMaxAlphaBetaSequential (Mate aware piece square evaluation);0.187;0.648;12.925;18.087;254.111;624.094;5884.996
MiniMaxParallel (Simple piece square evaluation);0.284;1.156;27.489;1087.534;34279.108
MiniMaxSequential (Mate aware piece square material evaluation);0.271;8.868;262.083;8303.524;245934.706
MiniMaxAlphaBetaSequential (Simple material evaluation);0.201;0.78;9.189;17.595;265.526;517.219;5918.689
MiniMaxAlphaBetaSequential (Simple piece square evaluation);0.188;0.602;12.544;17.998;252.862;622.575;5879.661
MiniMaxAlphaBetaSequential (Piece square material evaluation);0.265;0.954;11.982;23.563;437.153;707.953;8558.758
MiniMaxParallel (Mate aware piece square material evaluation);0.293;1.595;40.82;1517.179;46481.936
MiniMaxSequential (Piece square material evaluation);0.263;8.747;257.722;8263.989;244216.256
MiniMaxAlphaBetaSequential (Mate aware piece square material evaluation);0.273;0.962;12.276;23.919;448.578;713.316;8814.492
MiniMaxSequential (Simple material evaluation);0.2;6.623;190.688;6056.715;177782.053
MiniMaxSequential (Simple piece square evaluation);0.183;6.173;182.448;5816.52;172682.252
