r1bqkbnr/pppp1ppp/2n5/4p3/3P4/5N2/PPP2PPP/RNBQKB1R w KQkq - 2 4;Depth 1;Depth 2;Depth 3;Depth 4;Depth 5;Depth 6;Depth 7
MiniMaxSequential (Mate aware material evaluation);0.002;0.058;1.269;26.907;101.371
MiniMaxAlphaBetaSequential (Mate aware material evaluation);0.002;0.003;0.011;0.123;4.398;15.619;34.781
MiniMaxParallel (Mate aware material evaluation);0.007;0.031;1.615;34.103;175.259
MiniMaxParallel (Piece square material evaluation);0.003;0.055;0.994;4.034;157.866
MiniMaxParallel (Simple material evaluation);0.015;0.105;0.544;10.297;145.612
MiniMaxParallel (Mate aware piece square evaluation);0.005;0.039;0.607;1.647;252.248
MiniMaxSequential (Mate aware piece square evaluation);0.002;0.044;0.513;21.975;158.3
MiniMaxAlphaBetaSequential (Mate aware piece square evaluation);0.003;0.006;0.233;0.482;4.175;9.451;48.02
MiniMaxParallel (Simple piece square evaluation);0.006;0.082;0.987;8.035;200.668
MiniMaxSequential (Mate aware piece square material evaluation);0.003;0.056;1.619;17.452;144.058
MiniMaxAlphaBetaSequential (Simple material evaluation);0.002;0.002;0.027;0.183;4.178;11.739;37.813
MiniMaxAlphaBetaSequential (Simple piece square evaluation);0.002;0.004;0.03;0.194;4.834;17.292;96.769
MiniMaxAlphaBetaSequential (Piece square material evaluation);0.003;0.006;0.066;1.123;6.772;18.86;55.543
MiniMaxParallel (Mate aware piece square material evaluation);0.002;0.036;0.575;6.819;167.498
MiniMaxSequential (Piece square material evaluation);0.004;0.161;1.904;16.625;135.785
MiniMaxAlphaBetaSequential (Mate aware piece square material evaluation);0.004;0.007;0.045;0.239;4.277;20.916;50.611
MiniMaxSequential (Simple material evaluation);0.005;0.018;4.893;36.936;208.494
MiniMaxSequential (Simple piece square evaluation);0.003;0.007;2.471;32.568;147.744
