r1bqkbnr/pppp1ppp/2n5/4p3/3P4/5N2/PPP2PPP/RNBQKB1R w KQkq - 2 4;Depth 1;Depth 2;Depth 3;Depth 4;Depth 5;Depth 6;Depth 7
MiniMaxSequential (Mate aware material evaluation);0.308;10.261;370.567;12206.418;446920.317
MiniMaxAlphaBetaSequential (Mate aware material evaluation);0.305;0.796;15.36;40.593;519.767;1576.685;20153.469
MiniMaxParallel (Mate aware material evaluation);0.396;2.041;59.376;2248.256;85489.116
MiniMaxParallel (Piece square material evaluation);0.419;2.483;78.162;2883.406;108425.78
MiniMaxParallel (Simple material evaluation);0.386;2.119;58.248;2262.74;85327.059
MiniMaxParallel (Mate aware piece square evaluation);0.419;1.945;53.02;2083.264;79085.864
MiniMaxSequential (Mate aware piece square evaluation);0.287;9.784;348.771;11527.474;420635.938
MiniMaxAlphaBetaSequential (Mate aware piece square evaluation);0.286;1.65;26.566;100.423;1248.656;4277.299;64840.336
MiniMaxParallel (Simple piece square evaluation);0.426;1.959;52.622;2066.036;78950.509
MiniMaxSequential (Mate aware piece square material evaluation);0.408;13.757;498.914;16447.844;600896.603
MiniMaxAlphaBetaSequential (Simple material evaluation);0.312;0.813;15.48;40.981;513.738;1549.417;19856.876
MiniMaxAlphaBetaSequential (Simple piece square evaluation);0.288;1.647;25.91;99.582;1240.702;4238.287;61548.941
MiniMaxAlphaBetaSequential (Piece square material evaluation);0.411;1.059;22.164;76.949;1007.821;4825.761;56691.685
MiniMaxParallel (Mate aware piece square material evaluation);0.416;2.484;78.26;2889.128;108198.646
MiniMaxSequential (Piece square material evaluation);0.415;13.998;496.392;16337.648;598842.894
MiniMaxAlphaBetaSequential (Mate aware piece square material evaluation);0.41;1.062;22.371;75.511;1019.416;4877.75;57169.471
MiniMaxSequential (Simple material evaluation);0.321;10.575;379.598;12247.329;445140.59
MiniMaxSequential (Simple piece square evaluation);0.286;9.594;351.549;11451.155;419093.802
