5rk1/5q1p/p2PR1p1/4p1b1/1pP5/1P1Q4/P5PP/1K2R3 b - - 0 31;Depth 1;Depth 2;Depth 3;Depth 4;Depth 5;Depth 6;Depth 7
MiniMaxSequential (Mate aware material evaluation);0.002;0.048;1.113;22.122;81.864
MiniMaxAlphaBetaSequential (Mate aware material evaluation);0.002;0.004;0.008;0.087;0.828;2.951;20.019
MiniMaxParallel (Mate aware material evaluation);0.005;0.011;0.512;4.45;66.323
MiniMaxParallel (Piece square material evaluation);0.005;0.052;1.144;11.218;32.331
MiniMaxParallel (Simple material evaluation);0.009;0.038;1.503;27.329;94.812
MiniMaxParallel (Mate aware piece square evaluation);0.006;0.019;0.563;40.773;86.485
MiniMaxSequential (Mate aware piece square evaluation);0.004;0.29;1.971;23.906;95.72
MiniMaxAlphaBetaSequential (Mate aware piece square evaluation);0.002;0.007;0.038;0.249;2.163;9.153;15.331
MiniMaxParallel (Simple piece square evaluation);0.007;0.028;0.432;34.565;311.564
MiniMaxSequential (Mate aware piece square material evaluation);0.005;0.01;3.755;35.833;524.926
MiniMaxAlphaBetaSequential (Simple material evaluation);0.013;0.034;1.344;0.208;2.828;2.84;27.233
MiniMaxAlphaBetaSequential (Simple piece square evaluation);0.004;0.012;0.324;0.546;2.522;7.401;11.291
MiniMaxAlphaBetaSequential (Piece square material evaluation);0.002;0.019;0.113;0.095;4.6;8.588;17.931
MiniMaxParallel (Mate aware piece square material evaluation);0.004;0.086;0.906;14.242;270.619
MiniMaxSequential (Piece square material evaluation);0.003;0.124;0.745;13.833;343.162
MiniMaxAlphaBetaSequential (Mate aware piece square material evaluation);0.003;0.007;0.17;0.613;3.306;6.474;24.889
MiniMaxSequential (Simple material evaluation);0.003;0.046;0.963;30.425;88.056
MiniMaxSequential (Simple piece square evaluation);0.029;0.067;1.729;23.107;197.492
