Q7/p1pk3p/2p2qp1/3p1b2/8/1PN1P3/P1PP2PP/R4KNR b - - 4 15;Depth 1;Depth 2;Depth 3;Depth 4;Depth 5;Depth 6;Depth 7
MiniMaxSequential (Mate aware material evaluation);0.003;0.122;0.633;13.316;50.438
MiniMaxAlphaBetaSequential (Mate aware material evaluation);0.002;0.011;0.142;0.252;1.159;3.367;8.892
MiniMaxParallel (Mate aware material evaluation);0.004;0.02;0.179;42.709;32.695
MiniMaxParallel (Piece square material evaluation);0.008;0.015;0.236;8.622;42.126
MiniMaxParallel (Simple material evaluation);0.006;0.018;0.246;31.589;65.538
MiniMaxParallel (Mate aware piece square evaluation);0.004;0.027;0.164;4.63;82.58
MiniMaxSequential (Mate aware piece square evaluation);0.003;0.009;0.488;20.26;91.518
MiniMaxAlphaBetaSequential (Mate aware piece square evaluation);0.007;0.005;0.093;0.52;0.798;4.983;26.776
MiniMaxParallel (Simple piece square evaluation);0.003;0.012;0.195;11.159;103.387
MiniMaxSequential (Mate aware piece square material evaluation);0.005;0.017;1.603;14.314;77.894
MiniMaxAlphaBetaSequential (Simple material evaluation);0.003;0.009;0.031;0.072;3.258;1.415;16.751
MiniMaxAlphaBetaSequential (Simple piece square evaluation);0.002;0.003;0.014;0.083;0.451;0.698;27.889
MiniMaxAlphaBetaSequential (Piece square material evaluation);0.003;0.006;0.01;0.055;1.614;6.628;21.131
MiniMaxParallel (Mate aware piece square material evaluation);0.005;0.009;0.556;25.273;41.293
MiniMaxSequential (Piece square material evaluation);0.005;0.019;0.856;20.42;83.733
MiniMaxAlphaBetaSequential (Mate aware piece square material evaluation);0.003;0.006;0.08;0.286;7.196;4.377;45.068
MiniMaxSequential (Simple material evaluation);0.002;0.011;0.507;13.264;121.605
MiniMaxSequential (Simple piece square evaluation);0.003;0.005;0.504;20.116;51.645
