Q7/p1pk3p/2p2qp1/3p1b2/8/1PN1P3/P1PP2PP/R4KNR b - - 4 15;Depth 1;Depth 2;Depth 3;Depth 4;Depth 5;Depth 6;Depth 7
MiniMaxSequential (Mate aware material evaluation);0.23;7.064;184.789;5776.802;148891.495
MiniMaxAlphaBetaSequential (Mate aware material evaluation);0.232;0.424;6.962;18.551;327.283;891.74;12985.125
MiniMaxParallel (Mate aware material evaluation);0.308;1.342;28.527;1110.917;29152.518
MiniMaxParallel (Piece square material evaluation);0.331;1.681;38.015;1379.415;36688.252
MiniMaxParallel (Simple material evaluation);0.294;1.351;28.322;1089.126;28829.152
MiniMaxParallel (Mate aware piece square evaluation);0.321;1.278;25.965;997.074;27241.466
MiniMaxSequential (Mate aware piece square evaluation);0.216;6.537;173.169;5488.361;141640.46
MiniMaxAlphaBetaSequential (Mate aware piece square evaluation);0.264;0.649;10.636;24.363;196.453;541.149;4090.538
MiniMaxParallel (Simple piece square evaluation);0.32;1.271;25.645;1002.439;27017.061
MiniMaxSequential (Mate aware piece square material evaluation);0.312;9.376;246.993;7815.05;201198.318
MiniMaxAlphaBetaSequential (Simple material evaluation);0.235;0.443;7.447;30.585;322.143;675.352;13024.321
MiniMaxAlphaBetaSequential (Simple piece square evaluation);0.211;0.627;10.824;27.728;241.712;599.853;5504.524
MiniMaxAlphaBetaSequential (Piece square material evaluation);0.311;0.496;10.266;42.745;466.151;1085.696;17553.246
MiniMaxParallel (Mate aware piece square material evaluation);0.332;1.707;38.597;1405.621;36966.567
MiniMaxSequential (Piece square material evaluation);0.307;9.203;243.436;7726.955;198690.632
MiniMaxAlphaBetaSequential (Mate aware piece square material evaluation);0.318;0.516;9.354;26.395;502.067;1345.384;20189.402
MiniMaxSequential (Simple material evaluation);0.238;7.038;183.455;5732.052;146695.018
MiniMaxSequential (Simple piece square evaluation);0.213;6.453;169.957;5395.092;139166.909
