r5k1/7p/1p1Qp1p1/p1np1r2/1q3P1P/1P6/2P3P1/RB3RK1 w - - 3 26;Depth 1;Depth 2;Depth 3;Depth 4;Depth 5;Depth 6;Depth 7
MiniMaxSequential (Mate aware material evaluation);0.241;8.979;287.709;10402.216;335609.512
MiniMaxAlphaBetaSequential (Mate aware material evaluation);0.24;1.117;12.974;65.9;512.847;3915.904;29419.388
MiniMaxParallel (Mate aware material evaluation);0.32;1.609;44.293;1912.905;65276.155
MiniMaxParallel (Piece square material evaluation);0.337;2.104;58.73;2433.186;82220.863
MiniMaxParallel (Simple material evaluation);0.31;1.631;43.426;1904.487;64533.959
MiniMaxParallel (Mate aware piece square evaluation);0.333;1.51;40.794;1766.752;60800.986
MiniMaxSequential (Mate aware piece square evaluation);0.226;8.357;270.105;9623.042;317336.559
MiniMaxAlphaBetaSequential (Mate aware piece square evaluation);0.225;1.379;28.881;124.095;784.106;6796.612;32523.95
MiniMaxParallel (Simple piece square evaluation);0.338;1.492;39.18;1721.84;60044.269
MiniMaxSequential (Mate aware piece square material evaluation);0.324;11.927;387.586;13898.625;454704.252
MiniMaxAlphaBetaSequential (Simple material evaluation);0.253;1.153;13.792;66.896;502.18;3862.239;28945.873
MiniMaxAlphaBetaSequential (Simple piece square evaluation);0.221;1.376;29.154;125.485;767.834;6707.921;31921.239
MiniMaxAlphaBetaSequential (Piece square material evaluation);0.322;3.033;20.588;106.484;821.499;5621.5;70149.676
MiniMaxParallel (Mate aware piece square material evaluation);0.339;2.099;59.457;2442.416;82921.136
MiniMaxSequential (Piece square material evaluation);0.319;11.914;381.815;13844.807;448423.17
MiniMaxAlphaBetaSequential (Mate aware piece square material evaluation);0.324;3.025;20.458;106.585;831.9;5658.706;70770.398
MiniMaxSequential (Simple material evaluation);0.246;9.354;280.028;10288.702;330463.08
MiniMaxSequential (Simple piece square evaluation);0.22;8.25;261.408;9543.596;310327.97
