rn1q1r1k/pbpp1p1p/1p2p3/4P3/3P2Qp/P2B4/1PP2PPP/R4RK1 w - - 0 17;Depth 1;Depth 2;Depth 3;Depth 4;Depth 5;Depth 6;Depth 7
MiniMaxSequential (Mate aware material evaluation);0.003;0.114;2.321;26.532;956.542
MiniMaxAlphaBetaSequential (Mate aware material evaluation);0.003;0.006;0.144;0.232;4.199;13.378;76.137
MiniMaxParallel (Mate aware material evaluation);0.011;0.021;0.529;12.46;121.934
MiniMaxParallel (Piece square material evaluation);0.004;0.026;0.811;17.967;112.552
MiniMaxParallel (Simple material evaluation);0.031;0.026;0.435;5.67;241.318
MiniMaxParallel (Mate aware piece square evaluation);0.003;0.089;0.337;27.329;141.392
MiniMaxSequential (Mate aware piece square evaluation);0.003;0.006;0.668;39.05;173.847
MiniMaxAlphaBetaSequential (Mate aware piece square evaluation);0.003;0.015;0.252;3.564;15.364;27.433;128.783
MiniMaxParallel (Simple piece square evaluation);0.004;0.016;0.553;5.33;164.439
MiniMaxSequential (Mate aware piece square material evaluation);0.004;0.031;2.144;41.638;355.982
MiniMaxAlphaBetaSequential (Simple material evaluation);0.006;0.322;0.326;0.233;7.802;17.021;35.979
MiniMaxAlphaBetaSequential (Simple piece square evaluation);0.003;0.005;0.106;3.534;28.342;94.203;143.027
MiniMaxAlphaBetaSequential (Piece square material evaluation);0.004;0.01;0.12;0.49;20.557;61.376;78.575
MiniMaxParallel (Mate aware piece square material evaluation);0.008;0.034;0.562;26.954;167.829
MiniMaxSequential (Piece square material evaluation);0.002;0.033;4.571;17.736;501.453
MiniMaxAlphaBetaSequential (Mate aware piece square material evaluation);0.005;0.006;0.301;0.777;24.625;58.956;207.77
MiniMaxSequential (Simple material evaluation);0.004;0.035;3.825;20.592;161.371
MiniMaxSequential (Simple piece square evaluation);0.006;0.044;5.011;9.143;373.352
