rn1q1r1k/pbpp1p1p/1p2p3/4P3/3P2Qp/P2B4/1PP2PPP/R4RK1 w - - 0 17;Depth 1;Depth 2;Depth 3;Depth 4;Depth 5;Depth 6;Depth 7
MiniMaxSequential (Mate aware material evaluation);0.355;10.088;407.541;11198.741;432611.631
MiniMaxAlphaBetaSequential (Mate aware material evaluation);0.36;1.07;25.109;115.954;1508.75;11446.136;139849.232
MiniMaxParallel (Mate aware material evaluation);0.47;1.859;62.645;2049.611;81501.469
MiniMaxParallel (Piece square material evaluation);0.489;2.416;83.331;2640.211;103883.328
MiniMaxParallel (Simple material evaluation);0.472;1.872;62.378;2036.436;81725.132
MiniMaxParallel (Mate aware piece square evaluation);0.484;1.747;56.26;1903.89;75924.948
MiniMaxSequential (Mate aware piece square evaluation);0.332;9.259;376.094;10468.921;406410.917
MiniMaxAlphaBetaSequential (Mate aware piece square evaluation);0.335;4.421;18.655;518.017;3502.855;60682.558;490250.5
MiniMaxParallel (Simple piece square evaluation);0.487;1.684;56.458;1897.235;75658.604
MiniMaxSequential (Mate aware piece square material evaluation);0.486;13.425;550.085;15083.076;583915.485
MiniMaxAlphaBetaSequential (Simple material evaluation);0.611;1.509;25.551;117.121;1213.424;5857.544;37397.716
MiniMaxAlphaBetaSequential (Simple piece square evaluation);0.334;4.422;51.295;664.722;8284.146;44646.132;336088.547
MiniMaxAlphaBetaSequential (Piece square material evaluation);0.478;2.547;62.525;339.119;4487.573;28011.037;191164.855
MiniMaxParallel (Mate aware piece square material evaluation);0.495;2.399;83.152;2616.04;103938.606
MiniMaxSequential (Piece square material evaluation);0.478;13.363;544.637;15066.804;580927.482
MiniMaxAlphaBetaSequential (Mate aware piece square material evaluation);0.481;2.548;62.667;338.812;7241.026;40927.425;430489.316
MiniMaxSequential (Simple material evaluation);0.371;10.263;408.998;11234.755;428852.005
MiniMaxSequential (Simple piece square evaluation);0.335;9.368;380.45;10448.928;402960.565
