r3k2r/pNp1ppbp/2nq2pn/7P/2B3b1/3P1N2/PPP2PP1/R1BQK2R b KQkq - 0 11;Depth 1;Depth 2;Depth 3;Depth 4;Depth 5;Depth 6;Depth 7
MiniMaxSequential (Mate aware material evaluation);0.004;0.095;6.643;22.106;660.068
MiniMaxAlphaBetaSequential (Mate aware material evaluation);0.002;0.004;0.44;1.227;1.005;9.369;32.537
MiniMaxParallel (Mate aware material evaluation);0.019;0.098;7.638;17.059;695.443
MiniMaxParallel (Piece square material evaluation);0.01;0.143;1.447;18.724;148.798
MiniMaxParallel (Simple material evaluation);0.015;0.021;0.712;40.047;787.736
MiniMaxParallel (Mate aware piece square evaluation);0.006;0.028;1.133;11.993;640.734
MiniMaxSequential (Mate aware piece square evaluation);0.004;0.239;3.561;66.609;455.254
MiniMaxAlphaBetaSequential (Mate aware piece square evaluation);0.007;0.017;0.34;0.525;9.429;17.227;37.978
MiniMaxParallel (Simple piece square evaluation);0.005;0.049;1.128;6.843;213.69
MiniMaxSequential (Mate aware piece square material evaluation);0.004;0.026;3.34;21.402;256.739
MiniMaxAlphaBetaSequential (Simple material evaluation);0.074;0.113;0.468;0.416;2.993;5.994;25.28
MiniMaxAlphaBetaSequential (Simple piece square evaluation);0.001;0.008;0.057;0.432;5.196;14.861;43.625
MiniMaxAlphaBetaSequential (Piece square material evaluation);0.004;0.012;0.033;0.402;4.573;10.781;13.495
MiniMaxParallel (Mate aware piece square material evaluation);0.009;0.035;1.314;28.347;403.731
MiniMaxSequential (Piece square material evaluation);0.003;0.06;7.811;43.406;606.244
MiniMaxAlphaBetaSequential (Mate aware piece square material evaluation);0.006;0.036;0.739;0.291;5.089;14.199;52.568
MiniMaxSequential (Simple material evaluation);0.004;0.091;5.148;76.405;2848.797
MiniMaxSequential (Simple piece square evaluation);0.002;0.123;1.748;16.771;548.549
