r3k2r/pNp1ppbp/2nq2pn/7P/2B3b1/3P1N2/PPP2PP1/R1BQK2R b KQkq - 0 11;Depth 1;Depth 2;Depth 3;Depth 4;Depth 5;Depth 6;Depth 7
MiniMaxSequential (Mate aware material evaluation);0.439;17.368;817.29;31509.409;1410826.967
MiniMaxAlphaBetaSequential (Mate aware material evaluation);0.437;1.886;25.59;102.672;699.908;2633.758;20129.217
MiniMaxParallel (Mate aware material evaluation);0.566;3.108;131.777;5662.211;267378.077
MiniMaxParallel (Piece square material evaluation);0.592;3.952;167.033;7319.291;337413.014
MiniMaxParallel (Simple material evaluation);0.529;3.047;124.827;5666.822;264527.235
MiniMaxParallel (Mate aware piece square evaluation);0.578;2.837;112.683;5190.673;244905.618
MiniMaxSequential (Mate aware piece square evaluation);0.408;16.528;755.701;29534.054;1322572.789
MiniMaxAlphaBetaSequential (Mate aware piece square evaluation);0.414;2.074;34.157;142.604;1511.444;8565.047;65741.379
MiniMaxParallel (Simple piece square evaluation);0.582;2.775;112.096;5206.521;244779.038
MiniMaxSequential (Mate aware piece square material evaluation);0.589;23.107;1081.987;42171.447;1884978.17
MiniMaxAlphaBetaSequential (Simple material evaluation);0.701;3.147;25.801;98.957;696.896;2566.545;19969.167
MiniMaxAlphaBetaSequential (Simple piece square evaluation);0.403;2.038;33.392;140.486;1568.219;8519.81;69312.3
MiniMaxAlphaBetaSequential (Piece square material evaluation);0.581;2.37;33.292;132.268;1083.416;3722.911;29946.867
MiniMaxParallel (Mate aware piece square material evaluation);0.581;3.946;166.904;7290.473;338913.224
MiniMaxSequential (Piece square material evaluation);0.58;22.964;1076.259;41978.158;1874555.88
MiniMaxAlphaBetaSequential (Mate aware piece square material evaluation);0.593;2.446;34.583;134.479;1090.669;3794.448;30168.867
MiniMaxSequential (Simple material evaluation);0.448;17.66;815.377;31546.873;1397827.977
MiniMaxSequential (Simple piece square evaluation);0.403;16.266;761.741;29263.751;1306800.238
