5r1k/1pqnbr1P/p2p1pQp/2p5/3PP2P/1PN5/1PP3R1/R5K1 w - - 0 24;Depth 1;Depth 2;Depth 3;Depth 4;Depth 5;Depth 6;Depth 7
MiniMaxSequential (Mate aware material evaluation);0.002;0.021;0.459;29.754;223.471
MiniMaxAlphaBetaSequential (Mate aware material evaluation);0.002;0.003;0.135;0.375;7.206;3.828;19.436
MiniMaxParallel (Mate aware material evaluation);0.005;0.012;0.427;21.256;161.963
MiniMaxParallel (Piece square material evaluation);0.008;0.043;0.663;2.913;404.257
MiniMaxParallel (Simple material evaluation);0.012;0.015;0.513;16.331;127.953
MiniMaxParallel (Mate aware piece square evaluation);0.007;0.018;0.48;7.211;108.758
MiniMaxSequential (Mate aware piece square evaluation);0.003;0.014;2.779;13.745;206.195
MiniMaxAlphaBetaSequential (Mate aware piece square evaluation);0.003;0.007;0.008;0.149;2.697;6.368;35.845
MiniMaxParallel (Simple piece square evaluation);0.005;0.023;0.435;27.915;140.216
MiniMaxSequential (Mate aware piece square material evaluation);0.005;0.158;4.209;37.978;118.547
MiniMaxAlphaBetaSequential (Simple material evaluation);0.006;0.011;0.062;0.791;1.086;8.742;37.276
MiniMaxAlphaBetaSequential (Simple piece square evaluation);0.003;0.005;0.012;0.142;1.397;4.988;32.01
MiniMaxAlphaBetaSequential (Piece square material evaluation);0.003;0.005;0.115;0.112;4.868;21.262;66.662
MiniMaxParallel (Mate aware piece square material evaluation);0.006;0.064;0.719;9.833;123.172
MiniMaxSequential (Piece square material evaluation);0.003;0.013;3.47;19.622;135.166
MiniMaxAlphaBetaSequential (Mate aware piece square material evaluation);0.004;0.009;0.132;0.191;20.858;35.15;77.563
MiniMaxSequential (Simple material evaluation);0.005;0.018;1.75;35.955;168.948
MiniMaxSequential (Simple piece square evaluation);0.002;0.009;2.974;41.164;108.141
