r2q1rk1/ppp2ppp/2npbn2/4p3/2B1P3/2NP1N2/PPP2PPP/R1BQ1RK1 w - - 0 8;Depth 1;Depth 2;Depth 3;Depth 4;Depth 5;Depth 6;Depth 7
MiniMaxSequential (Mate aware material evaluation);0.013;0.041;1.571;20.578;209.255
MiniMaxAlphaBetaSequential (Mate aware material evaluation);0.003;0.007;0.03;0.099;0.595;5.009;17.717
MiniMaxParallel (Mate aware material evaluation);0.008;0.031;0.526;24.433;543.39
MiniMaxParallel (Piece square material evaluation);0.007;0.029;0.778;13.61;129.913
MiniMaxParallel (Simple material evaluation);0.008;0.021;1.397;14.512;305.655
MiniMaxParallel (Mate aware piece square evaluation);0.005;0.035;0.676;11.355;242.736
MiniMaxSequential (Mate aware piece square evaluation);0.002;0.024;0.989;19.413;405.471
MiniMaxAlphaBetaSequential (Mate aware piece square evaluation);0.003;0.006;0.03;0.131;4.195;12.544;41.711
MiniMaxParallel (Simple piece square evaluation);0.01;0.06;0.876;5.798;525.044
MiniMaxSequential (Mate aware piece square material evaluation);0.004;0.037;0.592;24.677;208.611
MiniMaxAlphaBetaSequential (Simple material evaluation);0.006;0.007;0.179;0.444;3.262;2.932;43.779
MiniMaxAlphaBetaSequential (Simple piece square evaluation);0.004;0.006;0.011;0.096;10.871;29.289;77.932
MiniMaxAlphaBetaSequential (Piece square material evaluation);0.003;0.003;0.049;0.476;1.951;30.293;49.947
MiniMaxParallel (Mate aware piece square material evaluation);0.005;0.019;0.92;21.664;277.442
MiniMaxSequential (Piece square material evaluation);0.004;0.011;4.783;15.298;775.28
MiniMaxAlphaBetaSequential (Mate aware piece square material evaluation);0.003;0.005;0.05;0.67;1.171;19.499;58.983
MiniMaxSequential (Simple material evaluation);0.002;0.404;6.564;27.987;499.574
MiniMaxSequential (Simple piece square evaluation);0.004;0.105;2.807;15.736;242.257
