8/5ppk/4p1p1/3pq3/3Q4/1B2r2P/P5P1/3R3K b - - 8 42;Depth 1;Depth 2;Depth 3;Depth 4;Depth 5;Depth 6;Depth 7
MiniMaxSequential (Mate aware material evaluation);0.003;0.072;0.824;24.323;106.808
MiniMaxSequential (Mate aware piece square evaluation);0.004;0.011;0.44;17.51;53.6
MiniMaxSequential (Mate aware piece square material evaluation);0.002;0.027;0.739;22.177;61.753
MiniMaxSequentialWithCache (Mate aware material evaluation);0.002;0.056;0.082;8.842;115.797
MiniMaxSequentialWithCache (Mate aware piece square evaluation);0.271;0.036;0.917;10.757;56.877
MiniMaxSequentialWithCache (Mate aware piece square material evaluation);0.005;0.067;1.02;8.701;209.778
MiniMaxParallel (Mate aware material evaluation);0.1;0.291;1.837;1.459;11.428
MiniMaxParallel (Mate aware piece square evaluation);0.001;0.018;0.415;0.412;10.004
MiniMaxParallel (Mate aware piece square material evaluation);0.107;0.704;0.881;1.504;248.898
MiniMaxParallelWithCache (Mate aware material evaluation);0.003;0.2;0.505;3.886;25.006
MiniMaxParallelWithCache (Mate aware piece square evaluation);0.003;0.054;0.154;15.615;37.89
MiniMaxParallelWithCache (Mate aware piece square material evaluation);0.034;0.161;0.658;3.509;31.774
MiniMaxAlphaBetaSequential (Mate aware material evaluation);0.003;0.007;0.009;0.019;1.96;1.391;9.648
MiniMaxAlphaBetaSequential (Mate aware piece square evaluation);0.002;0.043;0.167;0.029;1.769;5.06;18.693
MiniMaxAlphaBetaSequential (Mate aware piece square material evaluation);0.004;0.005;0.098;0.125;4.787;1.964;15.11
MiniMaxAlphaBetaSequentialWithCache (Mate aware material evaluation);0.024;0.044;0.393;0.115;0.801;1.077;7.436
MiniMaxAlphaBetaSequentialWithCache (Mate aware piece square evaluation);0.004;0.007;0.031;0.012;1.968;1.632;8.165
MiniMaxAlphaBetaSequentialWithCache (Mate aware piece square material evaluation);0.005;0.007;0.436;0.282;1.71;1.374;12.767
