Position FEN;Position description;Algorithm;Strategy;Depth;Duration [ms]
1r4r1/5p1k/p2p1q1p/2b1nPQ1/p7/6RP/B1R2PPK/2B5 b - - 0 1;Complex position with many options;MiniMaxSequential;Mate aware material evaluation;1;PT0.00036095S
1r4r1/5p1k/p2p1q1p/2b1nPQ1/p7/6RP/B1R2PPK/2B5 b - - 0 1;Complex position with many options;MiniMaxSequential;Mate aware material evaluation;2;PT0.01413285S
1r4r1/5p1k/p2p1q1p/2b1nPQ1/p7/6RP/B1R2PPK/2B5 b - - 0 1;Complex position with many options;MiniMaxSequential;Mate aware material evaluation;3;PT0.59459295S
1r4r1/5p1k/p2p1q1p/2b1nPQ1/p7/6RP/B1R2PPK/2B5 b - - 0 1;Complex position with many options;MiniMaxSequential;Mate aware material evaluation;4;PT23.46443655S
1r4r1/5p1k/p2p1q1p/2b1nPQ1/p7/6RP/B1R2PPK/2B5 b - - 0 1;Complex position with many options;MiniMaxSequential;Mate aware material evaluation;5;PT16M10.2213073S
1r4r1/5p1k/p2p1q1p/2b1nPQ1/p7/6RP/B1R2PPK/2B5 b - - 0 1;Complex position with many options;MiniMaxSequential;Mate aware piece square evaluation;1;PT0.00034615S
1r4r1/5p1k/p2p1q1p/2b1nPQ1/p7/6RP/B1R2PPK/2B5 b - - 0 1;Complex position with many options;MiniMaxSequential;Mate aware piece square evaluation;2;PT0.01373375S
1r4r1/5p1k/p2p1q1p/2b1nPQ1/p7/6RP/B1R2PPK/2B5 b - - 0 1;Complex position with many options;MiniMaxSequential;Mate aware piece square evaluation;3;PT0.57998665S
1r4r1/5p1k/p2p1q1p/2b1nPQ1/p7/6RP/B1R2PPK/2B5 b - - 0 1;Complex position with many options;MiniMaxSequential;Mate aware piece square evaluation;4;PT22.79257885S
1r4r1/5p1k/p2p1q1p/2b1nPQ1/p7/6RP/B1R2PPK/2B5 b - - 0 1;Complex position with many options;MiniMaxSequential;Mate aware piece square evaluation;5;PT15M39.40325155S
1r4r1/5p1k/p2p1q1p/2b1nPQ1/p7/6RP/B1R2PPK/2B5 b - - 0 1;Complex position with many options;MiniMaxSequential;Mate aware piece square material evaluation;1;PT0.0004953S
1r4r1/5p1k/p2p1q1p/2b1nPQ1/p7/6RP/B1R2PPK/2B5 b - - 0 1;Complex position with many options;MiniMaxSequential;Mate aware piece square material evaluation;2;PT0.01926695S
1r4r1/5p1k/p2p1q1p/2b1nPQ1/p7/6RP/B1R2PPK/2B5 b - - 0 1;Complex position with many options;MiniMaxSequential;Mate aware piece square material evaluation;3;PT0.82107875S
1r4r1/5p1k/p2p1q1p/2b1nPQ1/p7/6RP/B1R2PPK/2B5 b - - 0 1;Complex position with many options;MiniMaxSequential;Mate aware piece square material evaluation;4;PT31.98883265S
1r4r1/5p1k/p2p1q1p/2b1nPQ1/p7/6RP/B1R2PPK/2B5 b - - 0 1;Complex position with many options;MiniMaxSequential;Mate aware piece square material evaluation;5;PT22M3.98135995S
1r4r1/5p1k/p2p1q1p/2b1nPQ1/p7/6RP/B1R2PPK/2B5 b - - 0 1;Complex position with many options;MiniMaxSequentialWithCache;Mate aware material evaluation;1;PT0.0018724S
1r4r1/5p1k/p2p1q1p/2b1nPQ1/p7/6RP/B1R2PPK/2B5 b - - 0 1;Complex position with many options;MiniMaxSequentialWithCache;Mate aware material evaluation;2;PT0.0168354S
1r4r1/5p1k/p2p1q1p/2b1nPQ1/p7/6RP/B1R2PPK/2B5 b - - 0 1;Complex position with many options;MiniMaxSequentialWithCache;Mate aware material evaluation;3;PT0.6094227S
1r4r1/5p1k/p2p1q1p/2b1nPQ1/p7/6RP/B1R2PPK/2B5 b - - 0 1;Complex position with many options;MiniMaxSequentialWithCache;Mate aware material evaluation;4;PT16.3751318S
1r4r1/5p1k/p2p1q1p/2b1nPQ1/p7/6RP/B1R2PPK/2B5 b - - 0 1;Complex position with many options;MiniMaxSequentialWithCache;Mate aware material evaluation;5;PT7M23.33963405S
1r4r1/5p1k/p2p1q1p/2b1nPQ1/p7/6RP/B1R2PPK/2B5 b - - 0 1;Complex position with many options;MiniMaxSequentialWithCache;Mate aware piece square evaluation;1;PT0.00077175S
1r4r1/5p1k/p2p1q1p/2b1nPQ1/p7/6RP/B1R2PPK/2B5 b - - 0 1;Complex position with many options;MiniMaxSequentialWithCache;Mate aware piece square evaluation;2;PT0.0150612S
1r4r1/5p1k/p2p1q1p/2b1nPQ1/p7/6RP/B1R2PPK/2B5 b - - 0 1;Complex position with many options;MiniMaxSequentialWithCache;Mate aware piece square evaluation;3;PT0.57505695S
1r4r1/5p1k/p2p1q1p/2b1nPQ1/p7/6RP/B1R2PPK/2B5 b - - 0 1;Complex position with many options;MiniMaxSequentialWithCache;Mate aware piece square evaluation;4;PT15.62249145S
