5rk1/5q1p/p2PR1p1/4p1b1/1pP5/1P1Q4/P5PP/1K2R3 b - - 0 31;Depth 1;Depth 2;Depth 3;Depth 4;Depth 5;Depth 6;Depth 7
MiniMaxSequential (Mate aware material evaluation);0.264;10.587;359.967;13287.954;445193.463
MiniMaxSequential (Mate aware piece square evaluation);0.252;10.379;340.111;12635.242;423126.667
MiniMaxSequential (Mate aware piece square material evaluation);0.356;14.206;490.869;17915.509;600509.447
MiniMaxSequentialWithCache (Mate aware material evaluation);2.316;12.597;354.48;8833.584;186124.029
MiniMaxSequentialWithCache (Mate aware piece square evaluation);0.276;10.905;337.519;8334.729;179584.968
MiniMaxSequentialWithCache (Mate aware piece square material evaluation);0.395;15.553;432.18;10714.885;213652.396
MiniMaxParallel (Mate aware material evaluation);1.263;20.545;60.343;1974.124;65809.114
MiniMaxParallel (Mate aware piece square evaluation);0.271;1.996;48.59;1764.599;59150.878
MiniMaxParallel (Mate aware piece square material evaluation);0.414;3.203;72.178;2610.979;86849.114
MiniMaxParallelWithCache (Mate aware material evaluation);0.348;2.301;48.363;1242.92;27528.494
MiniMaxParallelWithCache (Mate aware piece square evaluation);0.419;2.132;46.144;1131.702;26090.854
MiniMaxParallelWithCache (Mate aware piece square material evaluation);0.474;2.907;61.734;1549.538;32796.743
MiniMaxAlphaBetaSequential (Mate aware material evaluation);0.263;0.736;10.199;31.582;289.099;876.382;6712.134
MiniMaxAlphaBetaSequential (Mate aware piece square evaluation);0.247;3.042;22.453;53.646;474.858;1927.935;15934.065
MiniMaxAlphaBetaSequential (Mate aware piece square material evaluation);0.354;0.918;15.174;54.611;476.768;1877.853;12512.179
MiniMaxAlphaBetaSequentialWithCache (Mate aware material evaluation);0.362;1.037;11.666;32.284;216.787;641.104;3827.745
MiniMaxAlphaBetaSequentialWithCache (Mate aware piece square evaluation);0.329;3.338;23.374;51.655;345.189;1352.575;10137.565
MiniMaxAlphaBetaSequentialWithCache (Mate aware piece square material evaluation);0.417;1.08;14.567;51.911;340.306;1395.931;7304.242
