r3k2r/pNp1ppbp/2nq2pn/7P/2B3b1/3P1N2/PPP2PP1/R1BQK2R b KQkq - 0 11;Depth 1;Depth 2;Depth 3;Depth 4;Depth 5;Depth 6;Depth 7
MiniMaxSequential (Mate aware material evaluation);0.439;17.368;817.29;31509.409;1410826.967
MiniMaxSequential (Mate aware piece square evaluation);0.408;16.528;755.701;29534.054;1322572.789
MiniMaxSequential (Mate aware piece square material evaluation);0.589;23.107;1081.987;42171.447;1884978.17
MiniMaxSequentialWithCache (Mate aware material evaluation);0.554;19.279;803.495;22708.685;685538.804
MiniMaxSequentialWithCache (Mate aware piece square evaluation);0.839;17.065;742.906;21232.652;653242.739
MiniMaxSequentialWithCache (Mate aware piece square material evaluation);0.692;25.011;1031.912;28354.597;825533.436
MiniMaxParallel (Mate aware material evaluation);2.558;5.213;121.865;4495.629;200622.459
MiniMaxParallel (Mate aware piece square evaluation);0.421;2.587;103.702;4021.9;176882.081
MiniMaxParallel (Mate aware piece square material evaluation);0.632;4.315;158.582;6121.55;270962.287
MiniMaxParallelWithCache (Mate aware material evaluation);0.559;3.173;111.859;3227.504;121899.637
MiniMaxParallelWithCache (Mate aware piece square evaluation);0.567;3.06;105.632;2982.825;115544.113
MiniMaxParallelWithCache (Mate aware piece square material evaluation);0.719;4.009;143.182;4111.019;146428.705
MiniMaxAlphaBetaSequential (Mate aware material evaluation);0.437;1.886;25.59;102.672;699.908;2633.758;20129.217
MiniMaxAlphaBetaSequential (Mate aware piece square evaluation);0.414;2.074;34.157;142.604;1511.444;8565.047;65741.379
MiniMaxAlphaBetaSequential (Mate aware piece square material evaluation);0.593;2.446;34.583;134.479;1090.669;3794.448;30168.867
MiniMaxAlphaBetaSequentialWithCache (Mate aware material evaluation);0.54;2.47;25.576;93.069;552.397;2067.441;10829.419
MiniMaxAlphaBetaSequentialWithCache (Mate aware piece square evaluation);0.456;2.283;34.659;141.833;1328.518;6676.78;44682.979
MiniMaxAlphaBetaSequentialWithCache (Mate aware piece square material evaluation);0.664;2.734;32.485;117.928;836.06;2876.605;15897.295
